Item Name,Steam Link
Dual Berettas - Melondrama (Field-Tested),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=Dual%20Berettas%20%7C%20Melondrama%20%28Field-Tested%29
Dual Berettas - Melondrama (Minimal Wear),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=Dual%20Berettas%20%7C%20Melondrama%20%28Minimal%20Wear%29
MP7 - Abyssal Apparition (Field-Tested),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=MP7%20%7C%20Abyssal%20Apparition%20%28Field-Tested%29
MP7 - Abyssal Apparition (Minimal Wear),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=MP7%20%7C%20Abyssal%20Apparition%20%28Minimal%20Wear%29
FAMAS - Rapid Eye Movement (Field-Tested),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=FAMAS%20%7C%20Rapid%20Eye%20Movement%20%28Field-Tested%29
FAMAS - Rapid Eye Movement (Minimal Wear),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=FAMAS%20%7C%20Rapid%20Eye%20Movement%20%28Minimal%20Wear%29
AK-47 - Nightwish (Field-Tested),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=AK-47%20%7C%20Nightwish%20%28Field-Tested%29
AK-47 - Nightwish (Minimal Wear),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=AK-47%20%7C%20Nightwish%20%28Minimal%20Wear%29
MP9 - Starlight Protector (Field-Tested),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=MP9%20%7C%20Starlight%20Protector%20%28Field-Tested%29
MP9 - Starlight Protector (Minimal Wear),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=MP9%20%7C%20Starlight%20Protector%20%28Minimal%20Wear%29
Falchion Knife - Lore (Field-Tested),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=%E2%98%85%20Falchion%20Knife%20%7C%20Lore%20%28Field-Tested%29
Falchion Knife - Lore (Minimal Wear),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=%E2%98%85%20Falchion%20Knife%20%7C%20Lore%20%28Minimal%20Wear%29
Bowie Knife - Gamma Doppler (Minimal Wear),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=%E2%98%85%20Bowie%20Knife%20%7C%20Gamma%20Doppler%20%28Minimal%20Wear%29
Bowie Knife - Gamma Doppler (Factory New),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=%E2%98%85%20Bowie%20Knife%20%7C%20Gamma%20Doppler%20%28Factory%20New%29
Butterfly Knife - Freehand (Field-Tested),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=%E2%98%85%20Butterfly%20Knife%20%7C%20Freehand%20%28Field-Tested%29
Butterfly Knife - Freehand (Minimal Wear),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=%E2%98%85%20Butterfly%20Knife%20%7C%20Freehand%20%28Minimal%20Wear%29
Shadow Daggers - Lore (Field-Tested),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=%E2%98%85%20Shadow%20Daggers%20%7C%20Lore%20%28Field-Tested%29
Shadow Daggers - Lore (Minimal Wear),https://steamcommunity.com/market/pricehistory/?appid=730&market_hash_name=%E2%98%85%20Shadow%20Daggers%20%7C%20Lore%20%28Minimal%20Wear%29
